id,câu_hỏi_người_dùng,intent_dinh_dưỡng,tình_trạng_sức_khỏe,mục_tiêu,bữa_sáng,bữa_trưa,bữa_tối,bữa_phụ,tổng_calo,ghi_chú
1,Người cao huyết áp nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,cao huyết áp,duy trì sức khỏe,Bánh mì trứng,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Sữa whey,1545,Ngủ đủ 7 tiếng.
2,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,tiểu đường,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + thịt bò xào,Salad rau củ + trứng,Sữa chua không đường,1606,Không dùng đồ ngọt.
3,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,béo phì,duy trì sức khỏe,Bánh mì trứng,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Sữa chua không đường,1260,Uống 2L nước/ngày.
4,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,tiểu đường,giảm cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa whey,1846,Tránh ăn sau 21h.
5,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,gầy yếu,tăng cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Táo xanh,1472,Ngủ đủ 7 tiếng.
6,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,bình thường,tăng cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1942,Không dùng đồ ngọt.
7,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Sữa whey,2110,Uống 2L nước/ngày.
8,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,béo phì,tăng cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Salad rau củ + trứng,Hạt hạnh nhân,1504,Không dùng đồ ngọt.
9,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,tiểu đường,ăn lành mạnh,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cá hồi + khoai lang,Táo xanh,1342,Không dùng đồ ngọt.
10,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,béo phì,duy trì sức khỏe,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa whey,1771,Uống 2L nước/ngày.
11,Người cao huyết áp nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,cao huyết áp,ăn lành mạnh,Bánh mì trứng,Cơm + thịt bò xào,Ức gà + rau củ hấp,Táo xanh,1300,Không dùng đồ ngọt.
12,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,gầy yếu,giảm cân,Yến mạch sữa chua,Cơm + thịt bò xào,Salad rau củ + trứng,Hạt hạnh nhân,1596,Uống 2L nước/ngày.
13,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Sữa chua không đường,1787,Kết hợp tập thể dục 30 phút/ngày.
14,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,cao huyết áp,duy trì sức khỏe,Cháo yến mạch,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Hạt hạnh nhân,1465,Kết hợp tập thể dục 30 phút/ngày.
15,Người béo phì nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,béo phì,tăng cân,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Chuối chín,1360,Uống 2L nước/ngày.
16,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,tiểu đường,tăng cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cá hồi + khoai lang,Hạt hạnh nhân,2236,Tránh ăn sau 21h.
17,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,bình thường,tăng cân,Yến mạch sữa chua,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa chua không đường,1782,Ngủ đủ 7 tiếng.
18,Người tiểu đường nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,tiểu đường,tăng cơ,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1231,Tránh ăn sau 21h.
19,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,duy trì sức khỏe,Cháo yến mạch,Cơm + thịt bò xào,Salad rau củ + trứng,Chuối chín,1260,Ngủ đủ 7 tiếng.
20,Người bình thường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,bình thường,tăng cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cơm + tôm hấp,Hạt hạnh nhân,1426,Không dùng đồ ngọt.
21,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,bình thường,giảm cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Chuối chín,1796,Kết hợp tập thể dục 30 phút/ngày.
22,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,cao huyết áp,ăn lành mạnh,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Táo xanh,1912,Kết hợp tập thể dục 30 phút/ngày.
23,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,gầy yếu,ăn lành mạnh,Bánh mì trứng,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Táo xanh,1924,Tránh ăn sau 21h.
24,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,cao huyết áp,giảm cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,2189,Tránh ăn sau 21h.
25,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,béo phì,ăn lành mạnh,Cháo yến mạch,Cơm + thịt bò xào,Salad rau củ + trứng,Chuối chín,1412,Ngủ đủ 7 tiếng.
26,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,gầy yếu,giảm cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Hạt hạnh nhân,1637,Kết hợp tập thể dục 30 phút/ngày.
27,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,bình thường,duy trì sức khỏe,Bánh mì trứng,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Chuối chín,2144,Kết hợp tập thể dục 30 phút/ngày.
28,Người cao huyết áp nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,cao huyết áp,ăn lành mạnh,Bánh mì trứng,Cơm + thịt bò xào,Cá hồi + khoai lang,Sữa whey,1803,Kết hợp tập thể dục 30 phút/ngày.
29,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,cao huyết áp,ăn lành mạnh,Yến mạch sữa chua,Ức gà nướng + salad,Cá hồi + khoai lang,Táo xanh,1570,Kết hợp tập thể dục 30 phút/ngày.
30,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,béo phì,tăng cân,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa chua không đường,1394,Tránh ăn sau 21h.
31,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,cao huyết áp,duy trì sức khỏe,Yến mạch sữa chua,Ức gà nướng + salad,Salad rau củ + trứng,Chuối chín,1854,Kết hợp tập thể dục 30 phút/ngày.
32,Người bình thường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,bình thường,tăng cơ,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Chuối chín,1539,Uống 2L nước/ngày.
33,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,cao huyết áp,ăn lành mạnh,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Táo xanh,1243,Kết hợp tập thể dục 30 phút/ngày.
34,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,gầy yếu,duy trì sức khỏe,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa whey,1944,Ngủ đủ 7 tiếng.
35,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,cao huyết áp,tăng cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Sữa whey,1423,Uống 2L nước/ngày.
36,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,bình thường,tăng cơ,Cháo yến mạch,Ức gà nướng + salad,Cá hồi + khoai lang,Sữa chua không đường,1902,Ngủ đủ 7 tiếng.
37,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,tăng cơ,Yến mạch sữa chua,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1518,Không dùng đồ ngọt.
38,Người bình thường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,bình thường,giảm cân,Yến mạch sữa chua,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1757,Không dùng đồ ngọt.
39,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,cao huyết áp,giảm cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Ức gà + rau củ hấp,Hạt hạnh nhân,1611,Kết hợp tập thể dục 30 phút/ngày.
40,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,béo phì,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Sữa chua không đường,2094,Tránh ăn sau 21h.
41,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,cao huyết áp,duy trì sức khỏe,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,1900,Uống 2L nước/ngày.
42,Người cao huyết áp nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,cao huyết áp,tăng cân,Bánh mì trứng,Ức gà nướng + salad,Cá hồi + khoai lang,Táo xanh,2054,Tránh ăn sau 21h.
43,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,cao huyết áp,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Sữa whey,2043,Kết hợp tập thể dục 30 phút/ngày.
44,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,cao huyết áp,ăn lành mạnh,Bánh mì trứng,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Hạt hạnh nhân,1292,Kết hợp tập thể dục 30 phút/ngày.
45,Người bình thường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,bình thường,giảm cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Sữa whey,1941,Kết hợp tập thể dục 30 phút/ngày.
46,Người béo phì nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,béo phì,ăn lành mạnh,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa whey,1516,Không dùng đồ ngọt.
47,Người bình thường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,bình thường,tăng cơ,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1293,Kết hợp tập thể dục 30 phút/ngày.
48,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,béo phì,duy trì sức khỏe,Bánh mì trứng,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Hạt hạnh nhân,1758,Uống 2L nước/ngày.
49,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,gầy yếu,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Ức gà + rau củ hấp,Hạt hạnh nhân,2231,Kết hợp tập thể dục 30 phút/ngày.
50,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,béo phì,ăn lành mạnh,Bánh mì trứng,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,2282,Kết hợp tập thể dục 30 phút/ngày.
51,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,cao huyết áp,tăng cơ,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Hạt hạnh nhân,1270,Kết hợp tập thể dục 30 phút/ngày.
52,Người cao huyết áp nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,cao huyết áp,tăng cơ,Bánh mì trứng,Cơm + thịt bò xào,Ức gà + rau củ hấp,Sữa whey,1507,Tránh ăn sau 21h.
53,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,cao huyết áp,tăng cơ,Bánh mì trứng,Ức gà nướng + salad,Salad rau củ + trứng,Táo xanh,1435,Ngủ đủ 7 tiếng.
54,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,bình thường,giảm cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Chuối chín,1649,Uống 2L nước/ngày.
55,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,gầy yếu,duy trì sức khỏe,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Sữa whey,1810,Không dùng đồ ngọt.
56,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,béo phì,duy trì sức khỏe,Cháo yến mạch,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1329,Không dùng đồ ngọt.
57,Người tiểu đường nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,tiểu đường,ăn lành mạnh,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa whey,1811,Kết hợp tập thể dục 30 phút/ngày.
58,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,béo phì,tăng cơ,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Hạt hạnh nhân,2131,Tránh ăn sau 21h.
59,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,bình thường,tăng cơ,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Chuối chín,1333,Kết hợp tập thể dục 30 phút/ngày.
60,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,tiểu đường,tăng cân,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Táo xanh,2114,Ngủ đủ 7 tiếng.
61,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Hạt hạnh nhân,1422,Kết hợp tập thể dục 30 phút/ngày.
62,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,tiểu đường,tăng cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cơm + tôm hấp,Sữa chua không đường,1673,Ngủ đủ 7 tiếng.
63,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,tiểu đường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Hạt hạnh nhân,2088,Ngủ đủ 7 tiếng.
64,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,béo phì,duy trì sức khỏe,Bánh mì trứng,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1626,Tránh ăn sau 21h.
65,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,bình thường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Sữa chua không đường,1870,Không dùng đồ ngọt.
66,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,cao huyết áp,giảm cân,Yến mạch sữa chua,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Chuối chín,2292,Tránh ăn sau 21h.
67,Người gầy yếu nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,gầy yếu,tăng cơ,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Hạt hạnh nhân,1356,Tránh ăn sau 21h.
68,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,bình thường,tăng cơ,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Táo xanh,2121,Ngủ đủ 7 tiếng.
69,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,gầy yếu,duy trì sức khỏe,Yến mạch sữa chua,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1236,Ngủ đủ 7 tiếng.
70,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,gầy yếu,tăng cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa whey,2059,Không dùng đồ ngọt.
71,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,tiểu đường,tăng cân,Bánh mì trứng,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1475,Kết hợp tập thể dục 30 phút/ngày.
72,Người tiểu đường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,tiểu đường,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa whey,1831,Kết hợp tập thể dục 30 phút/ngày.
73,Người bình thường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,bình thường,tăng cơ,Yến mạch sữa chua,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1738,Tránh ăn sau 21h.
74,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,cao huyết áp,ăn lành mạnh,Bánh mì trứng,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Táo xanh,2193,Ngủ đủ 7 tiếng.
75,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,cao huyết áp,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Táo xanh,1498,Ngủ đủ 7 tiếng.
76,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,tiểu đường,ăn lành mạnh,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1991,Ngủ đủ 7 tiếng.
77,Người bình thường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,bình thường,ăn lành mạnh,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Sữa chua không đường,1343,Uống 2L nước/ngày.
78,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,gầy yếu,tăng cơ,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa whey,1836,Tránh ăn sau 21h.
79,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,bình thường,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1455,Tránh ăn sau 21h.
80,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,bình thường,ăn lành mạnh,Trứng luộc + rau xanh,Ức gà nướng + salad,Cơm + tôm hấp,Sữa chua không đường,1221,Kết hợp tập thể dục 30 phút/ngày.
81,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,cao huyết áp,duy trì sức khỏe,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Táo xanh,1331,Tránh ăn sau 21h.
82,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,tiểu đường,giảm cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa whey,1764,Ngủ đủ 7 tiếng.
83,Người béo phì nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,béo phì,giảm cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1290,Tránh ăn sau 21h.
84,Người bình thường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,bình thường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Táo xanh,1975,Không dùng đồ ngọt.
85,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,bình thường,giảm cân,Cháo yến mạch,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1868,Không dùng đồ ngọt.
86,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,bình thường,tăng cơ,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Chuối chín,1213,Uống 2L nước/ngày.
87,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,béo phì,tăng cân,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1259,Tránh ăn sau 21h.
88,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,gầy yếu,tăng cân,Bánh mì trứng,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Chuối chín,1265,Không dùng đồ ngọt.
89,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Táo xanh,2281,Tránh ăn sau 21h.
90,Người bình thường nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,bình thường,ăn lành mạnh,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cá hồi + khoai lang,Hạt hạnh nhân,1490,Ngủ đủ 7 tiếng.
91,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,bình thường,tăng cơ,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Sữa chua không đường,1915,Không dùng đồ ngọt.
92,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,gầy yếu,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Cá hồi + khoai lang,Sữa whey,1844,Không dùng đồ ngọt.
93,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,cao huyết áp,tăng cân,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,2109,Kết hợp tập thể dục 30 phút/ngày.
94,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,giảm cân,Cháo yến mạch,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa chua không đường,1612,Ngủ đủ 7 tiếng.
95,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,bình thường,giảm cân,Yến mạch sữa chua,Ức gà nướng + salad,Cá hồi + khoai lang,Táo xanh,2262,Không dùng đồ ngọt.
96,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,cao huyết áp,tăng cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Sữa chua không đường,1840,Uống 2L nước/ngày.
97,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa chua không đường,2193,Uống 2L nước/ngày.
98,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,cao huyết áp,giảm cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Sữa chua không đường,1913,Uống 2L nước/ngày.
