id,câu_hỏi_người_dùng,intent_dinh_dưỡng,tình_trạng_sức_khỏe,mục_tiêu,bữa_sáng,bữa_trưa,bữa_tối,bữa_phụ,tổng_calo,ghi_chú
99,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,duy trì sức khỏe,Yến mạch sữa chua,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa chua không đường,2188,Tránh ăn sau 21h.
100,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,tăng cân,Cháo yến mạch,Ức gà nướng + salad,Cá hồi + khoai lang,Hạt hạnh nhân,1504,Ngủ đủ 7 tiếng.
101,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,tiểu đường,tăng cân,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1231,Ngủ đủ 7 tiếng.
102,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,gầy yếu,duy trì sức khỏe,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa whey,1750,Tránh ăn sau 21h.
103,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,béo phì,duy trì sức khỏe,Cháo yến mạch,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Sữa whey,1342,Kết hợp tập thể dục 30 phút/ngày.
104,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,béo phì,tăng cơ,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Salad rau củ + trứng,Hạt hạnh nhân,1731,Ngủ đủ 7 tiếng.
105,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,tăng cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa whey,2158,Uống 2L nước/ngày.
106,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,tiểu đường,tăng cơ,Bánh mì trứng,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1468,Ngủ đủ 7 tiếng.
107,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,tiểu đường,tăng cân,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1745,Kết hợp tập thể dục 30 phút/ngày.
108,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,tăng cơ,Yến mạch sữa chua,Ức gà nướng + salad,Salad rau củ + trứng,Táo xanh,1902,Ngủ đủ 7 tiếng.
109,Người tiểu đường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,tiểu đường,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Cơm + tôm hấp,Táo xanh,1495,Tránh ăn sau 21h.
110,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,béo phì,ăn lành mạnh,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1972,Uống 2L nước/ngày.
111,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,gầy yếu,ăn lành mạnh,Bánh mì trứng,Ức gà nướng + salad,Cơm + tôm hấp,Sữa whey,1829,Uống 2L nước/ngày.
112,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,gầy yếu,giảm cân,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa whey,1440,Không dùng đồ ngọt.
113,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,tăng cơ,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Ức gà + rau củ hấp,Táo xanh,2114,Ngủ đủ 7 tiếng.
114,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1985,Tránh ăn sau 21h.
115,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,cao huyết áp,duy trì sức khỏe,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Táo xanh,1861,Tránh ăn sau 21h.
116,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,béo phì,giảm cân,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Hạt hạnh nhân,1943,Uống 2L nước/ngày.
117,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,gầy yếu,ăn lành mạnh,Bánh mì trứng,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Táo xanh,1878,Tránh ăn sau 21h.
118,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,gầy yếu,tăng cơ,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cá hồi + khoai lang,Hạt hạnh nhân,1480,Ngủ đủ 7 tiếng.
119,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,gầy yếu,tăng cơ,Bánh mì trứng,Cơm + thịt bò xào,Salad rau củ + trứng,Sữa whey,2112,Tránh ăn sau 21h.
120,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,cao huyết áp,giảm cân,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Sữa whey,2203,Không dùng đồ ngọt.
121,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,gầy yếu,tăng cân,Bánh mì trứng,Ức gà nướng + salad,Cá hồi + khoai lang,Sữa chua không đường,1883,Kết hợp tập thể dục 30 phút/ngày.
122,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,cao huyết áp,duy trì sức khỏe,Bánh mì trứng,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1351,Ngủ đủ 7 tiếng.
123,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,cao huyết áp,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa whey,1615,Tránh ăn sau 21h.
124,Người bình thường nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,bình thường,tăng cơ,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cơm + tôm hấp,Sữa chua không đường,1408,Kết hợp tập thể dục 30 phút/ngày.
125,Người cao huyết áp nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,cao huyết áp,giảm cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,2041,Ngủ đủ 7 tiếng.
126,Người gầy yếu nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,gầy yếu,duy trì sức khỏe,Yến mạch sữa chua,Ức gà nướng + salad,Ức gà + rau củ hấp,Hạt hạnh nhân,1744,Ngủ đủ 7 tiếng.
127,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,cao huyết áp,tăng cân,Yến mạch sữa chua,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1974,Không dùng đồ ngọt.
128,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,gầy yếu,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cơm + tôm hấp,Sữa whey,1855,Ngủ đủ 7 tiếng.
129,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,tiểu đường,ăn lành mạnh,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Sữa whey,1422,Không dùng đồ ngọt.
130,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,gầy yếu,ăn lành mạnh,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa chua không đường,1623,Không dùng đồ ngọt.
131,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,tiểu đường,tăng cơ,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa whey,2201,Tránh ăn sau 21h.
132,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,bình thường,tăng cơ,Cháo yến mạch,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Chuối chín,2029,Tránh ăn sau 21h.
133,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,gầy yếu,ăn lành mạnh,Cháo yến mạch,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa whey,1297,Uống 2L nước/ngày.
134,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Salad rau củ + trứng,Sữa whey,1473,Ngủ đủ 7 tiếng.
135,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,gầy yếu,tăng cơ,Cháo yến mạch,Ức gà nướng + salad,Ức gà + rau củ hấp,Chuối chín,1613,Không dùng đồ ngọt.
136,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,gầy yếu,tăng cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Sữa chua không đường,1273,Không dùng đồ ngọt.
137,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,béo phì,tăng cơ,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Táo xanh,2297,Kết hợp tập thể dục 30 phút/ngày.
138,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,bình thường,tăng cơ,Trứng luộc + rau xanh,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa chua không đường,1464,Uống 2L nước/ngày.
139,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,béo phì,ăn lành mạnh,Cháo yến mạch,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,2159,Uống 2L nước/ngày.
140,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,tiểu đường,giảm cân,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Sữa chua không đường,1693,Kết hợp tập thể dục 30 phút/ngày.
141,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,gầy yếu,giảm cân,Trứng luộc + rau xanh,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1545,Uống 2L nước/ngày.
142,Người bình thường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,bình thường,ăn lành mạnh,Cháo yến mạch,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,2123,Không dùng đồ ngọt.
143,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,cao huyết áp,ăn lành mạnh,Bánh mì trứng,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1569,Ngủ đủ 7 tiếng.
144,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,cao huyết áp,ăn lành mạnh,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1254,Tránh ăn sau 21h.
145,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,cao huyết áp,tăng cân,Bánh mì trứng,Ức gà nướng + salad,Salad rau củ + trứng,Hạt hạnh nhân,1921,Uống 2L nước/ngày.
146,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,bình thường,ăn lành mạnh,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Sữa whey,1284,Không dùng đồ ngọt.
147,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,cao huyết áp,giảm cân,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Táo xanh,2217,Tránh ăn sau 21h.
148,Người béo phì nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,béo phì,tăng cơ,Bánh mì trứng,Ức gà nướng + salad,Cá hồi + khoai lang,Hạt hạnh nhân,1750,Ngủ đủ 7 tiếng.
149,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,gầy yếu,duy trì sức khỏe,Cháo yến mạch,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Hạt hạnh nhân,2035,Tránh ăn sau 21h.
150,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,bình thường,tăng cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa whey,1353,Ngủ đủ 7 tiếng.
151,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,tiểu đường,tăng cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1983,Uống 2L nước/ngày.
152,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,gầy yếu,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Chuối chín,1235,Ngủ đủ 7 tiếng.
153,Người gầy yếu nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,gầy yếu,tăng cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Táo xanh,2090,Ngủ đủ 7 tiếng.
154,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,gầy yếu,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa whey,2273,Uống 2L nước/ngày.
155,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,gầy yếu,ăn lành mạnh,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Hạt hạnh nhân,1287,Tránh ăn sau 21h.
156,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,cao huyết áp,tăng cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Chuối chín,1616,Ngủ đủ 7 tiếng.
157,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,bình thường,tăng cơ,Cháo yến mạch,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1888,Không dùng đồ ngọt.
158,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,gầy yếu,duy trì sức khỏe,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa whey,1827,Không dùng đồ ngọt.
159,Người tiểu đường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Ức gà nướng + salad,Salad rau củ + trứng,Sữa whey,1484,Kết hợp tập thể dục 30 phút/ngày.
160,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,bình thường,duy trì sức khỏe,Cháo yến mạch,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1349,Ngủ đủ 7 tiếng.
161,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,gầy yếu,duy trì sức khỏe,Yến mạch sữa chua,Ức gà nướng + salad,Cá hồi + khoai lang,Sữa whey,2141,Kết hợp tập thể dục 30 phút/ngày.
162,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,gầy yếu,giảm cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Táo xanh,2126,Uống 2L nước/ngày.
163,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,cao huyết áp,tăng cơ,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Hạt hạnh nhân,1266,Uống 2L nước/ngày.
164,Người bình thường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,bình thường,tăng cơ,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1688,Kết hợp tập thể dục 30 phút/ngày.
165,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,gầy yếu,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa chua không đường,1507,Uống 2L nước/ngày.
166,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,béo phì,tăng cơ,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1211,Kết hợp tập thể dục 30 phút/ngày.
167,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,cao huyết áp,ăn lành mạnh,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa whey,2134,Kết hợp tập thể dục 30 phút/ngày.
168,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,bình thường,ăn lành mạnh,Trứng luộc + rau xanh,Ức gà nướng + salad,Cá hồi + khoai lang,Sữa chua không đường,1274,Uống 2L nước/ngày.
169,Người tiểu đường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,tiểu đường,giảm cân,Bánh mì trứng,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1589,Không dùng đồ ngọt.
170,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,giảm cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Táo xanh,1717,Ngủ đủ 7 tiếng.
171,Người bình thường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,bình thường,giảm cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Táo xanh,2300,Ngủ đủ 7 tiếng.
172,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,bình thường,tăng cơ,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Hạt hạnh nhân,2030,Không dùng đồ ngọt.
173,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,bình thường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Sữa chua không đường,1409,Uống 2L nước/ngày.
174,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,tiểu đường,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cơm + tôm hấp,Sữa chua không đường,1230,Kết hợp tập thể dục 30 phút/ngày.
175,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Sữa whey,2147,Kết hợp tập thể dục 30 phút/ngày.
176,Người gầy yếu nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,gầy yếu,giảm cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Chuối chín,2135,Ngủ đủ 7 tiếng.
177,Người cao huyết áp nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,cao huyết áp,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1635,Tránh ăn sau 21h.
178,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,béo phì,tăng cơ,Trứng luộc + rau xanh,Ức gà nướng + salad,Cơm + tôm hấp,Táo xanh,1227,Tránh ăn sau 21h.
179,Người béo phì nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,béo phì,tăng cơ,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa whey,2110,Tránh ăn sau 21h.
180,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,béo phì,tăng cơ,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1932,Ngủ đủ 7 tiếng.
181,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,cao huyết áp,giảm cân,Yến mạch sữa chua,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Chuối chín,2197,Không dùng đồ ngọt.
182,Người bình thường nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,bình thường,tăng cân,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1568,Không dùng đồ ngọt.
183,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,duy trì sức khỏe,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa chua không đường,1925,Uống 2L nước/ngày.
184,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,tiểu đường,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Táo xanh,1904,Kết hợp tập thể dục 30 phút/ngày.
185,Người bình thường nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,bình thường,tăng cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cơm + tôm hấp,Táo xanh,1958,Không dùng đồ ngọt.
186,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,tiểu đường,tăng cơ,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1249,Uống 2L nước/ngày.
187,Người gầy yếu nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,gầy yếu,tăng cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Chuối chín,1313,Tránh ăn sau 21h.
188,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,cao huyết áp,ăn lành mạnh,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1677,Tránh ăn sau 21h.
189,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,tiểu đường,tăng cơ,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Táo xanh,1778,Không dùng đồ ngọt.
190,Người tiểu đường nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,tiểu đường,tăng cân,Cháo yến mạch,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa whey,1773,Tránh ăn sau 21h.
191,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,béo phì,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cơm + tôm hấp,Hạt hạnh nhân,2045,Không dùng đồ ngọt.
192,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,béo phì,ăn lành mạnh,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1770,Uống 2L nước/ngày.
193,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,tiểu đường,ăn lành mạnh,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Sữa whey,1204,Tránh ăn sau 21h.
194,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,tiểu đường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Chuối chín,2164,Tránh ăn sau 21h.
195,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,cao huyết áp,tăng cơ,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Hạt hạnh nhân,1776,Kết hợp tập thể dục 30 phút/ngày.
196,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,gầy yếu,giảm cân,Bánh mì trứng,Cơm + thịt bò xào,Salad rau củ + trứng,Sữa whey,1326,Uống 2L nước/ngày.
197,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,bình thường,tăng cơ,Cháo yến mạch,Ức gà nướng + salad,Cơm + tôm hấp,Táo xanh,1943,Không dùng đồ ngọt.
198,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,gầy yếu,tăng cơ,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Chuối chín,2248,Uống 2L nước/ngày.
