id,câu_hỏi_người_dùng,intent_dinh_dưỡng,tình_trạng_sức_khỏe,mục_tiêu,bữa_sáng,bữa_trưa,bữa_tối,bữa_phụ,tổng_calo,ghi_chú
199,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,cao huyết áp,ăn lành mạnh,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Táo xanh,1227,Tránh ăn sau 21h.
200,Người bình thường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,bình thường,giảm cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Sữa whey,2286,Không dùng đồ ngọt.
201,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,béo phì,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cá hồi + khoai lang,Táo xanh,2240,Không dùng đồ ngọt.
202,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,cao huyết áp,ăn lành mạnh,Cháo yến mạch,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Táo xanh,1458,Kết hợp tập thể dục 30 phút/ngày.
203,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,béo phì,giảm cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Chuối chín,1415,Kết hợp tập thể dục 30 phút/ngày.
204,Người béo phì nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,béo phì,tăng cơ,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Chuối chín,1818,Không dùng đồ ngọt.
205,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,cao huyết áp,tăng cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Táo xanh,2225,Không dùng đồ ngọt.
206,Người bình thường nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,bình thường,tăng cơ,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Sữa chua không đường,1914,Kết hợp tập thể dục 30 phút/ngày.
207,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,tiểu đường,tăng cơ,Bánh mì trứng,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Táo xanh,1853,Uống 2L nước/ngày.
208,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,cao huyết áp,tăng cơ,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Táo xanh,1258,Không dùng đồ ngọt.
209,Người bình thường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,bình thường,tăng cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Cơm + tôm hấp,Táo xanh,2266,Không dùng đồ ngọt.
210,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,cao huyết áp,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Cơm + tôm hấp,Sữa chua không đường,1347,Không dùng đồ ngọt.
211,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,bình thường,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1378,Uống 2L nước/ngày.
212,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,gầy yếu,tăng cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Táo xanh,1614,Uống 2L nước/ngày.
213,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,cao huyết áp,tăng cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Sữa chua không đường,2005,Không dùng đồ ngọt.
214,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,bình thường,tăng cơ,Trứng luộc + rau xanh,Ức gà nướng + salad,Cơm + tôm hấp,Táo xanh,1852,Ngủ đủ 7 tiếng.
215,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,cao huyết áp,ăn lành mạnh,Trứng luộc + rau xanh,Ức gà nướng + salad,Cơm + tôm hấp,Chuối chín,1874,Không dùng đồ ngọt.
216,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,gầy yếu,giảm cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Hạt hạnh nhân,1497,Kết hợp tập thể dục 30 phút/ngày.
217,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,cao huyết áp,giảm cân,Bánh mì trứng,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1817,Ngủ đủ 7 tiếng.
218,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,bình thường,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Hạt hạnh nhân,1277,Ngủ đủ 7 tiếng.
219,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,bình thường,tăng cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Hạt hạnh nhân,1580,Uống 2L nước/ngày.
220,Người gầy yếu nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,gầy yếu,giảm cân,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Chuối chín,1913,Kết hợp tập thể dục 30 phút/ngày.
221,Người béo phì nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,béo phì,tăng cơ,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Chuối chín,1948,Ngủ đủ 7 tiếng.
222,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,béo phì,ăn lành mạnh,Cháo yến mạch,Ức gà nướng + salad,Salad rau củ + trứng,Sữa whey,2260,Không dùng đồ ngọt.
223,Người béo phì nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,béo phì,tăng cân,Yến mạch sữa chua,Ức gà nướng + salad,Cơm + tôm hấp,Táo xanh,1813,Tránh ăn sau 21h.
224,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,cao huyết áp,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Ức gà + rau củ hấp,Hạt hạnh nhân,1672,Uống 2L nước/ngày.
225,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,gầy yếu,tăng cơ,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Chuối chín,1793,Kết hợp tập thể dục 30 phút/ngày.
226,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,gầy yếu,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Chuối chín,1662,Kết hợp tập thể dục 30 phút/ngày.
227,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,gầy yếu,giảm cân,Cháo yến mạch,Cơm + thịt bò xào,Cơm + tôm hấp,Táo xanh,1664,Ngủ đủ 7 tiếng.
228,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,gầy yếu,tăng cân,Cháo yến mạch,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1430,Không dùng đồ ngọt.
229,Người cao huyết áp nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,cao huyết áp,giảm cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Hạt hạnh nhân,1305,Tránh ăn sau 21h.
230,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,duy trì sức khỏe,Yến mạch sữa chua,Ức gà nướng + salad,Cơm + tôm hấp,Sữa whey,2126,Ngủ đủ 7 tiếng.
231,Người gầy yếu nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,gầy yếu,duy trì sức khỏe,Cháo yến mạch,Ức gà nướng + salad,Salad rau củ + trứng,Sữa chua không đường,1553,Không dùng đồ ngọt.
232,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa whey,2183,Không dùng đồ ngọt.
233,Người gầy yếu nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,gầy yếu,tăng cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Chuối chín,1549,Uống 2L nước/ngày.
234,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,tiểu đường,ăn lành mạnh,Yến mạch sữa chua,Ức gà nướng + salad,Ức gà + rau củ hấp,Táo xanh,1873,Uống 2L nước/ngày.
235,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,bình thường,tăng cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa whey,1229,Kết hợp tập thể dục 30 phút/ngày.
236,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,tiểu đường,tăng cân,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa whey,2132,Ngủ đủ 7 tiếng.
237,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,tiểu đường,ăn lành mạnh,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa whey,1971,Không dùng đồ ngọt.
238,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,béo phì,ăn lành mạnh,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa whey,1369,Ngủ đủ 7 tiếng.
239,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,bình thường,tăng cân,Cháo yến mạch,Cơm + thịt bò xào,Cá hồi + khoai lang,Hạt hạnh nhân,1528,Tránh ăn sau 21h.
240,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,gầy yếu,ăn lành mạnh,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa whey,1703,Không dùng đồ ngọt.
241,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,bình thường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa chua không đường,2161,Ngủ đủ 7 tiếng.
242,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,béo phì,ăn lành mạnh,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,2238,Không dùng đồ ngọt.
243,Người gầy yếu nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,gầy yếu,tăng cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Sữa chua không đường,2129,Ngủ đủ 7 tiếng.
244,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,béo phì,giảm cân,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Táo xanh,1697,Uống 2L nước/ngày.
245,Người tiểu đường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Sữa whey,1686,Ngủ đủ 7 tiếng.
246,Người tiểu đường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Chuối chín,1757,Kết hợp tập thể dục 30 phút/ngày.
247,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,bình thường,tăng cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1896,Uống 2L nước/ngày.
248,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,gầy yếu,tăng cơ,Yến mạch sữa chua,Ức gà nướng + salad,Ức gà + rau củ hấp,Táo xanh,1366,Uống 2L nước/ngày.
249,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,cao huyết áp,tăng cơ,Bánh mì trứng,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1739,Tránh ăn sau 21h.
250,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,gầy yếu,tăng cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Salad rau củ + trứng,Táo xanh,1678,Tránh ăn sau 21h.
251,Người tiểu đường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,tiểu đường,giảm cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Táo xanh,2146,Kết hợp tập thể dục 30 phút/ngày.
252,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,tiểu đường,tăng cân,Bánh mì trứng,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1754,Uống 2L nước/ngày.
253,Người tiểu đường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Hạt hạnh nhân,1283,Kết hợp tập thể dục 30 phút/ngày.
254,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,gầy yếu,giảm cân,Bánh mì trứng,Ức gà nướng + salad,Cá hồi + khoai lang,Hạt hạnh nhân,1930,Ngủ đủ 7 tiếng.
255,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,bình thường,giảm cân,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1862,Không dùng đồ ngọt.
256,Người bình thường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,bình thường,tăng cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Sữa whey,1457,Uống 2L nước/ngày.
257,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,béo phì,ăn lành mạnh,Yến mạch sữa chua,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1554,Tránh ăn sau 21h.
258,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,béo phì,ăn lành mạnh,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa whey,2015,Tránh ăn sau 21h.
259,Người gầy yếu nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,gầy yếu,tăng cân,Cháo yến mạch,Ức gà nướng + salad,Cơm + tôm hấp,Chuối chín,1359,Không dùng đồ ngọt.
260,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Táo xanh,2107,Kết hợp tập thể dục 30 phút/ngày.
261,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,gầy yếu,tăng cơ,Cháo yến mạch,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1436,Tránh ăn sau 21h.
262,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,cao huyết áp,giảm cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1959,Uống 2L nước/ngày.
263,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,gầy yếu,tăng cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1522,Tránh ăn sau 21h.
264,Người béo phì nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,béo phì,ăn lành mạnh,Cháo yến mạch,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1216,Kết hợp tập thể dục 30 phút/ngày.
265,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,gầy yếu,giảm cân,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Sữa whey,1219,Không dùng đồ ngọt.
266,Người cao huyết áp nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,cao huyết áp,giảm cân,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1228,Uống 2L nước/ngày.
267,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1629,Tránh ăn sau 21h.
268,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,béo phì,tăng cơ,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Táo xanh,1947,Kết hợp tập thể dục 30 phút/ngày.
269,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,béo phì,ăn lành mạnh,Bánh mì trứng,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Hạt hạnh nhân,2189,Kết hợp tập thể dục 30 phút/ngày.
270,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,béo phì,giảm cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Sữa whey,1543,Không dùng đồ ngọt.
271,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,bình thường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Hạt hạnh nhân,1420,Tránh ăn sau 21h.
272,Người gầy yếu nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,gầy yếu,duy trì sức khỏe,Yến mạch sữa chua,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1639,Không dùng đồ ngọt.
273,Người béo phì nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,béo phì,tăng cơ,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Hạt hạnh nhân,1288,Không dùng đồ ngọt.
274,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,béo phì,tăng cân,Cháo yến mạch,Cơm + thịt bò xào,Cá hồi + khoai lang,Hạt hạnh nhân,2155,Ngủ đủ 7 tiếng.
275,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,bình thường,giảm cân,Cháo yến mạch,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1914,Uống 2L nước/ngày.
276,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,béo phì,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1677,Ngủ đủ 7 tiếng.
277,Người cao huyết áp nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,cao huyết áp,giảm cân,Bánh mì trứng,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,2019,Tránh ăn sau 21h.
278,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,bình thường,tăng cân,Bánh mì trứng,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Táo xanh,1220,Không dùng đồ ngọt.
279,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,bình thường,tăng cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Chuối chín,2126,Ngủ đủ 7 tiếng.
280,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,tiểu đường,tăng cơ,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1741,Không dùng đồ ngọt.
281,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,cao huyết áp,ăn lành mạnh,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,2247,Kết hợp tập thể dục 30 phút/ngày.
282,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,cao huyết áp,tăng cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Táo xanh,2148,Kết hợp tập thể dục 30 phút/ngày.
283,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,cao huyết áp,ăn lành mạnh,Cháo yến mạch,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1964,Tránh ăn sau 21h.
284,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,cao huyết áp,ăn lành mạnh,Yến mạch sữa chua,Ức gà nướng + salad,Cá hồi + khoai lang,Hạt hạnh nhân,2096,Uống 2L nước/ngày.
285,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,bình thường,tăng cơ,Bánh mì trứng,Ức gà nướng + salad,Salad rau củ + trứng,Hạt hạnh nhân,1557,Kết hợp tập thể dục 30 phút/ngày.
286,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,gầy yếu,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Ức gà + rau củ hấp,Sữa chua không đường,1964,Uống 2L nước/ngày.
287,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,2066,Tránh ăn sau 21h.
288,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,cao huyết áp,ăn lành mạnh,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Hạt hạnh nhân,2093,Uống 2L nước/ngày.
289,Người bình thường nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,bình thường,giảm cân,Cháo yến mạch,Ức gà nướng + salad,Salad rau củ + trứng,Sữa whey,1348,Tránh ăn sau 21h.
290,Người gầy yếu nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,gầy yếu,tăng cơ,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Cá hồi + khoai lang,Sữa whey,1449,Kết hợp tập thể dục 30 phút/ngày.
291,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,gầy yếu,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Sữa whey,2121,Uống 2L nước/ngày.
292,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,cao huyết áp,giảm cân,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1678,Uống 2L nước/ngày.
293,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,bình thường,tăng cơ,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Chuối chín,1851,Kết hợp tập thể dục 30 phút/ngày.
294,Người tiểu đường nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Salad rau củ + trứng,Táo xanh,2045,Không dùng đồ ngọt.
295,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,tiểu đường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Táo xanh,1268,Tránh ăn sau 21h.
296,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,bình thường,duy trì sức khỏe,Bánh mì trứng,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1328,Không dùng đồ ngọt.
297,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,bình thường,tăng cân,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Hạt hạnh nhân,1874,Không dùng đồ ngọt.
298,"Tôi muốn giữ cân, nên ăn gì trong ngày?",giữ cân,béo phì,tăng cân,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Sữa whey,2146,Kết hợp tập thể dục 30 phút/ngày.
