id,câu_hỏi_người_dùng,intent_dinh_dưỡng,tình_trạng_sức_khỏe,mục_tiêu,bữa_sáng,bữa_trưa,bữa_tối,bữa_phụ,tổng_calo,ghi_chú
299,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,bình thường,duy trì sức khỏe,Bánh mì trứng,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Táo xanh,2226,Không dùng đồ ngọt.
300,Người cao huyết áp nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,cao huyết áp,giảm cân,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Cá hồi + khoai lang,Sữa whey,1317,Tránh ăn sau 21h.
301,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,béo phì,giảm cân,Yến mạch sữa chua,Ức gà nướng + salad,Cơm + tôm hấp,Sữa whey,2236,Tránh ăn sau 21h.
302,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,gầy yếu,giảm cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Chuối chín,1900,Kết hợp tập thể dục 30 phút/ngày.
303,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,bình thường,giảm cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Salad rau củ + trứng,Sữa whey,1443,Uống 2L nước/ngày.
304,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,bình thường,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Hạt hạnh nhân,1865,Ngủ đủ 7 tiếng.
305,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,cao huyết áp,tăng cơ,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Táo xanh,1574,Không dùng đồ ngọt.
306,"Tôi đang tăng cân, ăn gì sáng, trưa, tối hợp lý?",tăng cân,béo phì,ăn lành mạnh,Bánh mì trứng,Cơm + thịt bò xào,Salad rau củ + trứng,Táo xanh,1649,Tránh ăn sau 21h.
307,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,bình thường,tăng cân,Bánh mì trứng,Cơm + thịt bò xào,Cơm + tôm hấp,Táo xanh,1981,Tránh ăn sau 21h.
308,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Chuối chín,1781,Uống 2L nước/ngày.
309,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,gầy yếu,tăng cơ,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Hạt hạnh nhân,1220,Kết hợp tập thể dục 30 phút/ngày.
310,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,tiểu đường,tăng cơ,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Táo xanh,1296,Kết hợp tập thể dục 30 phút/ngày.
311,Người gầy yếu nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,gầy yếu,tăng cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Táo xanh,2235,Không dùng đồ ngọt.
312,Người cao huyết áp nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,cao huyết áp,ăn lành mạnh,Cháo yến mạch,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1866,Uống 2L nước/ngày.
313,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,gầy yếu,giảm cân,Cháo yến mạch,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Táo xanh,2263,Không dùng đồ ngọt.
314,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa whey,2180,Kết hợp tập thể dục 30 phút/ngày.
315,Người tiểu đường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,tiểu đường,giảm cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,1798,Không dùng đồ ngọt.
316,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,tiểu đường,duy trì sức khỏe,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Sữa chua không đường,1982,Không dùng đồ ngọt.
317,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,tiểu đường,giảm cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Sữa whey,2272,Tránh ăn sau 21h.
318,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,cao huyết áp,tăng cân,Cháo yến mạch,Cơm + thịt bò xào,Ức gà + rau củ hấp,Táo xanh,2131,Không dùng đồ ngọt.
319,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1885,Ngủ đủ 7 tiếng.
320,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,bình thường,tăng cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Táo xanh,1485,Ngủ đủ 7 tiếng.
321,Người gầy yếu nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,gầy yếu,duy trì sức khỏe,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Hạt hạnh nhân,2087,Không dùng đồ ngọt.
322,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,béo phì,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Sữa chua không đường,2214,Uống 2L nước/ngày.
323,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,béo phì,tăng cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,1479,Uống 2L nước/ngày.
324,Người tiểu đường nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,tiểu đường,giảm cân,Bánh mì trứng,Ức gà nướng + salad,Cá hồi + khoai lang,Táo xanh,1432,Kết hợp tập thể dục 30 phút/ngày.
325,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,tiểu đường,ăn lành mạnh,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Chuối chín,1533,Không dùng đồ ngọt.
326,Người béo phì nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,béo phì,tăng cơ,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Táo xanh,1450,Uống 2L nước/ngày.
327,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,gầy yếu,tăng cơ,Bánh mì trứng,Ức gà nướng + salad,Cơm + tôm hấp,Hạt hạnh nhân,1739,Tránh ăn sau 21h.
328,Người tiểu đường nên ăn thế nào để ổn định đường huyết trong 1 ngày?,ổn định đường huyết,tiểu đường,duy trì sức khỏe,Cháo yến mạch,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa chua không đường,2050,Ngủ đủ 7 tiếng.
329,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,gầy yếu,giảm cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Hạt hạnh nhân,2099,Kết hợp tập thể dục 30 phút/ngày.
330,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,bình thường,ăn lành mạnh,Bánh mì trứng,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Sữa whey,1734,Uống 2L nước/ngày.
331,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,gầy yếu,ăn lành mạnh,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Táo xanh,1468,Tránh ăn sau 21h.
332,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,gầy yếu,ăn lành mạnh,Cháo yến mạch,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1254,Kết hợp tập thể dục 30 phút/ngày.
333,Người tiểu đường nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,tiểu đường,tăng cân,Yến mạch sữa chua,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa whey,1527,Không dùng đồ ngọt.
334,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,bình thường,ăn lành mạnh,Trứng luộc + rau xanh,Ức gà nướng + salad,Cá hồi + khoai lang,Chuối chín,1539,Uống 2L nước/ngày.
335,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,gầy yếu,giảm cân,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Chuối chín,1373,Tránh ăn sau 21h.
336,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,tiểu đường,duy trì sức khỏe,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Sữa whey,2157,Kết hợp tập thể dục 30 phút/ngày.
337,Người bình thường nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,bình thường,tăng cơ,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1262,Uống 2L nước/ngày.
338,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,béo phì,tăng cân,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Sữa whey,1621,Tránh ăn sau 21h.
339,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,béo phì,giảm cân,Cháo yến mạch,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Táo xanh,2094,Tránh ăn sau 21h.
340,Người tiểu đường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,tiểu đường,ăn lành mạnh,Bánh mì trứng,Ức gà nướng + salad,Ức gà + rau củ hấp,Hạt hạnh nhân,1742,Ngủ đủ 7 tiếng.
341,Người bình thường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,bình thường,ăn lành mạnh,Bánh mì trứng,Ức gà nướng + salad,Salad rau củ + trứng,Chuối chín,2129,Tránh ăn sau 21h.
342,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,gầy yếu,tăng cơ,Yến mạch sữa chua,Cơm + thịt bò xào,Cơm + tôm hấp,Chuối chín,2061,Không dùng đồ ngọt.
343,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,gầy yếu,tăng cơ,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Sữa whey,2083,Không dùng đồ ngọt.
344,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,bình thường,tăng cơ,Bánh mì trứng,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Táo xanh,1795,Không dùng đồ ngọt.
345,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,gầy yếu,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Chuối chín,1633,Không dùng đồ ngọt.
346,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,béo phì,duy trì sức khỏe,Cháo yến mạch,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Hạt hạnh nhân,1741,Kết hợp tập thể dục 30 phút/ngày.
347,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,bình thường,duy trì sức khỏe,Cháo yến mạch,Ức gà nướng + salad,Ức gà + rau củ hấp,Sữa chua không đường,1222,Ngủ đủ 7 tiếng.
348,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,bình thường,duy trì sức khỏe,Bánh mì trứng,Ức gà nướng + salad,Salad rau củ + trứng,Sữa whey,1845,Tránh ăn sau 21h.
349,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,bình thường,tăng cơ,Cháo yến mạch,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Sữa chua không đường,2092,Kết hợp tập thể dục 30 phút/ngày.
350,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,gầy yếu,ăn lành mạnh,Cháo yến mạch,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Chuối chín,2187,Kết hợp tập thể dục 30 phút/ngày.
351,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,bình thường,tăng cân,Cháo yến mạch,Đậu hũ sốt cà + rau luộc,Đậu hũ chiên + cơm gạo lứt,Sữa whey,2050,Không dùng đồ ngọt.
352,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,béo phì,tăng cơ,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Salad rau củ + trứng,Táo xanh,1927,Tránh ăn sau 21h.
353,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,bình thường,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Hạt hạnh nhân,1898,Tránh ăn sau 21h.
354,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,tăng cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,1732,Tránh ăn sau 21h.
355,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,cao huyết áp,tăng cơ,Bánh mì trứng,Cơm + thịt bò xào,Đậu hũ chiên + cơm gạo lứt,Chuối chín,2044,Ngủ đủ 7 tiếng.
356,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,cao huyết áp,duy trì sức khỏe,Yến mạch sữa chua,Ức gà nướng + salad,Cá hồi + khoai lang,Chuối chín,1585,Uống 2L nước/ngày.
357,"Tôi bị cao huyết áp, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,cao huyết áp,tăng cơ,Bánh mì trứng,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Táo xanh,1214,Tránh ăn sau 21h.
358,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,gầy yếu,tăng cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Chuối chín,1769,Không dùng đồ ngọt.
359,Người béo phì nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,béo phì,ăn lành mạnh,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa chua không đường,1504,Không dùng đồ ngọt.
360,"Tôi muốn tăng cơ, nên ăn gì trong ngày?",tăng cơ,béo phì,giảm cân,Trứng luộc + rau xanh,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Táo xanh,2011,Không dùng đồ ngọt.
361,Người tiểu đường nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,tiểu đường,ăn lành mạnh,Bánh mì trứng,Cơm + thịt bò xào,Salad rau củ + trứng,Sữa whey,1592,Không dùng đồ ngọt.
362,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,cao huyết áp,ăn lành mạnh,Cháo yến mạch,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Chuối chín,1779,Uống 2L nước/ngày.
363,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,bình thường,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1227,Uống 2L nước/ngày.
364,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,gầy yếu,tăng cân,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Sữa whey,1850,Tránh ăn sau 21h.
365,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,gầy yếu,ăn lành mạnh,Trứng luộc + rau xanh,Ức gà nướng + salad,Ức gà + rau củ hấp,Chuối chín,2057,Ngủ đủ 7 tiếng.
366,Hãy gợi ý thực đơn nguyên ngày giúp tôi giữ cân.,giữ cân,bình thường,duy trì sức khỏe,Bánh mì trứng,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Chuối chín,2039,Ngủ đủ 7 tiếng.
367,"Tôi đang ổn định đường huyết, ăn gì sáng, trưa, tối hợp lý?",ổn định đường huyết,cao huyết áp,ăn lành mạnh,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,1403,Tránh ăn sau 21h.
368,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,gầy yếu,tăng cơ,Cháo yến mạch,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Sữa chua không đường,1832,Không dùng đồ ngọt.
369,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,gầy yếu,tăng cơ,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Cá hồi + khoai lang,Chuối chín,2229,Không dùng đồ ngọt.
370,Người tiểu đường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,tiểu đường,ăn lành mạnh,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Chuối chín,1575,Ngủ đủ 7 tiếng.
371,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giảm cân,béo phì,ăn lành mạnh,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Sữa chua không đường,2109,Tránh ăn sau 21h.
372,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,bình thường,tăng cơ,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Táo xanh,1518,Uống 2L nước/ngày.
373,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cân,tiểu đường,giảm cân,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Ức gà + rau củ hấp,Sữa whey,1980,Tránh ăn sau 21h.
374,Hãy gợi ý thực đơn nguyên ngày giúp tôi giảm cân.,giảm cân,gầy yếu,tăng cơ,Bánh mì trứng,Cơm + cá hồi áp chảo,Cơm + tôm hấp,Táo xanh,1269,Uống 2L nước/ngày.
375,"Tôi muốn giảm cân, nên ăn gì trong ngày?",giảm cân,tiểu đường,tăng cơ,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Hạt hạnh nhân,1713,Tránh ăn sau 21h.
376,Hãy gợi ý thực đơn nguyên ngày giúp tôi ổn định đường huyết.,ổn định đường huyết,bình thường,giảm cân,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Cá hồi + khoai lang,Chuối chín,1615,Ngủ đủ 7 tiếng.
377,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,tiểu đường,ăn lành mạnh,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Táo xanh,1778,Kết hợp tập thể dục 30 phút/ngày.
378,Người béo phì nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,béo phì,ăn lành mạnh,Bánh mì trứng,Cơm + thịt bò xào,Cơm + tôm hấp,Chuối chín,2156,Ngủ đủ 7 tiếng.
379,Người tiểu đường nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,tiểu đường,tăng cơ,Sữa tươi + trái cây ít đường,Cơm gạo lứt + cá hấp,Cơm + tôm hấp,Chuối chín,1454,Kết hợp tập thể dục 30 phút/ngày.
380,"Tôi đang giảm cân, ăn gì sáng, trưa, tối hợp lý?",giảm cân,cao huyết áp,tăng cơ,Cháo yến mạch,Ức gà nướng + salad,Salad rau củ + trứng,Chuối chín,2070,Tránh ăn sau 21h.
381,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,béo phì,tăng cân,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Ức gà + rau củ hấp,Sữa chua không đường,1354,Ngủ đủ 7 tiếng.
382,"Tôi muốn tăng cân, nên ăn gì trong ngày?",tăng cân,béo phì,giảm cân,Yến mạch sữa chua,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Hạt hạnh nhân,2156,Không dùng đồ ngọt.
383,Người béo phì nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,béo phì,tăng cân,Cháo yến mạch,Cơm + thịt bò xào,Ức gà + rau củ hấp,Chuối chín,1931,Không dùng đồ ngọt.
384,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,bình thường,tăng cân,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,2251,Kết hợp tập thể dục 30 phút/ngày.
385,"Tôi đang giữ cân, ăn gì sáng, trưa, tối hợp lý?",giữ cân,bình thường,ăn lành mạnh,Yến mạch sữa chua,Đậu hũ sốt cà + rau luộc,Cá hồi + khoai lang,Sữa chua không đường,1610,Uống 2L nước/ngày.
386,Người béo phì nên ăn thế nào để giữ cân trong 1 ngày?,giữ cân,béo phì,ăn lành mạnh,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Sữa chua không đường,2097,Không dùng đồ ngọt.
387,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,béo phì,duy trì sức khỏe,Sữa tươi + trái cây ít đường,Ức gà nướng + salad,Đậu hũ chiên + cơm gạo lứt,Hạt hạnh nhân,2106,Ngủ đủ 7 tiếng.
388,"Tôi đang tăng cơ, ăn gì sáng, trưa, tối hợp lý?",tăng cơ,cao huyết áp,ăn lành mạnh,Cháo yến mạch,Cơm + thịt bò xào,Cơm + tôm hấp,Táo xanh,2160,Uống 2L nước/ngày.
389,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,bình thường,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Hạt hạnh nhân,1654,Ngủ đủ 7 tiếng.
390,"Tôi bị bình thường, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,bình thường,tăng cân,Bánh mì trứng,Cơm gạo lứt + cá hấp,Salad rau củ + trứng,Chuối chín,2063,Tránh ăn sau 21h.
391,Người cao huyết áp nên ăn thế nào để tăng cân trong 1 ngày?,tăng cân,cao huyết áp,giảm cân,Sữa tươi + trái cây ít đường,Cơm + thịt bò xào,Salad rau củ + trứng,Hạt hạnh nhân,1770,Uống 2L nước/ngày.
392,"Tôi bị tiểu đường, gợi ý thực đơn cho cả ngày giúp tôi.",tăng cơ,tiểu đường,duy trì sức khỏe,Trứng luộc + rau xanh,Cơm + thịt bò xào,Ức gà + rau củ hấp,Chuối chín,2175,Tránh ăn sau 21h.
393,"Tôi bị béo phì, gợi ý thực đơn cho cả ngày giúp tôi.",giữ cân,béo phì,ăn lành mạnh,Bánh mì trứng,Cơm + cá hồi áp chảo,Salad rau củ + trứng,Sữa chua không đường,1456,Kết hợp tập thể dục 30 phút/ngày.
394,Người béo phì nên ăn thế nào để tăng cơ trong 1 ngày?,tăng cơ,béo phì,duy trì sức khỏe,Yến mạch sữa chua,Cơm + cá hồi áp chảo,Đậu hũ chiên + cơm gạo lứt,Sữa chua không đường,1932,Kết hợp tập thể dục 30 phút/ngày.
395,"Tôi muốn ổn định đường huyết, nên ăn gì trong ngày?",ổn định đường huyết,cao huyết áp,tăng cơ,Bánh mì trứng,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Chuối chín,1811,Kết hợp tập thể dục 30 phút/ngày.
396,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cơ.,tăng cơ,cao huyết áp,tăng cơ,Trứng luộc + rau xanh,Đậu hũ sốt cà + rau luộc,Ức gà + rau củ hấp,Hạt hạnh nhân,1348,Uống 2L nước/ngày.
397,"Tôi bị gầy yếu, gợi ý thực đơn cho cả ngày giúp tôi.",ổn định đường huyết,gầy yếu,giảm cân,Trứng luộc + rau xanh,Cơm gạo lứt + cá hấp,Cá hồi + khoai lang,Sữa chua không đường,2270,Uống 2L nước/ngày.
398,Người gầy yếu nên ăn thế nào để giảm cân trong 1 ngày?,giảm cân,gầy yếu,tăng cân,Sữa tươi + trái cây ít đường,Đậu hũ sốt cà + rau luộc,Cơm + tôm hấp,Sữa chua không đường,1684,Uống 2L nước/ngày.
399,Hãy gợi ý thực đơn nguyên ngày giúp tôi tăng cân.,tăng cân,bình thường,giảm cân,Trứng luộc + rau xanh,Cơm + thịt bò xào,Salad rau củ + trứng,Hạt hạnh nhân,2245,Kết hợp tập thể dục 30 phút/ngày.
